Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Nature,Reporting Type,Units, , , , , , , , , , , , , , , , , , , , 
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),4,Afghanistan,2018,3.00,2018,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),4,Afghanistan,2019,1.00,2019,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),4,Afghanistan,2020,11.00,2020,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),4,Afghanistan,2021,188.00,2021,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),4,Afghanistan,2023,8.00,2023,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),5,South America,2015,7.00,2015,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),5,South America,2016,51.00,2016,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),5,South America,2018,30.00,2018,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),5,South America,2019,39.00,2019,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),5,South America,2020,66.00,2020,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),5,South America,2021,123.00,2021,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),5,South America,2022,75.00,2022,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),5,South America,2023,76.00,2023,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),8,Albania,2020,3.00,2020,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),8,Albania,2022,1.00,2022,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),8,Albania,2023,1.00,2023,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),11,Western Africa,2015,64.00,2015,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),11,Western Africa,2016,96.00,2016,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),11,Western Africa,2017,506.00,2017,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),11,Western Africa,2018,451.00,2018,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),11,Western Africa,2019,842.00,2019,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),11,Western Africa,2020,56.00,2020,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),11,Western Africa,2021,104.00,2021,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),11,Western Africa,2022,72.00,2022,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),11,Western Africa,2023,529.00,2023,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),12,Algeria,2014,46.00,2014,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,0,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),12,Algeria,2015,19.00,2015,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),12,Algeria,2016,8.00,2016,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),12,Algeria,2017,34.00,2017,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),12,Algeria,2018,108.00,2018,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),12,Algeria,2019,282.00,2019,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),12,Algeria,2020,282.00,2020,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),12,Algeria,2021,330.00,2021,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),12,Algeria,2022,510.00,2022,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),12,Algeria,2023,414.00,2023,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),13,Central America,2014,117.00,2014,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),13,Central America,2015,152.00,2015,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),13,Central America,2016,234.00,2016,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),13,Central America,2017,160.00,2017,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),13,Central America,2018,145.00,2018,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),13,Central America,2019,236.00,2019,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),13,Central America,2020,162.00,2020,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),13,Central America,2021,332.00,2021,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),13,Central America,2022,492.00,2022,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),13,Central America,2023,564.00,2023,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),14,Eastern Africa,2014,322.00,2014,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),14,Eastern Africa,2015,198.00,2015,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),14,Eastern Africa,2016,247.00,2016,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),14,Eastern Africa,2017,131.00,2017,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),14,Eastern Africa,2018,252.00,2018,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),14,Eastern Africa,2019,69.00,2019,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),14,Eastern Africa,2020,168.00,2020,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),14,Eastern Africa,2021,149.00,2021,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),14,Eastern Africa,2022,90.00,2022,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),14,Eastern Africa,2023,179.00,2023,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),15,Northern Africa,2014,61.00,2014,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),15,Northern Africa,2015,733.00,2015,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),15,Northern Africa,2016,"1,237.00",2016,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),15,Northern Africa,2017,987.00,2017,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),15,Northern Africa,2018,646.00,2018,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),15,Northern Africa,2019,855.00,2019,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),15,Northern Africa,2020,131.00,2020,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),15,Northern Africa,2021,344.00,2021,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),15,Northern Africa,2022,574.00,2022,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),15,Northern Africa,2023,442.00,2023,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),17,Middle Africa,2017,4.00,2017,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),17,Middle Africa,2018,87.00,2018,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),17,Middle Africa,2019,71.00,2019,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),17,Middle Africa,2020,19.00,2020,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),17,Middle Africa,2022,33.00,2022,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),18,Southern Africa,2015,3.00,2015,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),18,Southern Africa,2016,15.00,2016,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),18,Southern Africa,2017,2.00,2017,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),18,Southern Africa,2018,1.00,2018,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),18,Southern Africa,2021,13.00,2021,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),18,Southern Africa,2022,31.00,2022,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),21,Northern America,2014,530.00,2014,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),21,Northern America,2015,305.00,2015,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),21,Northern America,2016,352.00,2016,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),21,Northern America,2017,348.00,2017,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),21,Northern America,2018,381.00,2018,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),21,Northern America,2019,419.00,2019,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),21,Northern America,2020,369.00,2020,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),21,Northern America,2021,592.00,2021,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),21,Northern America,2022,569.00,2022,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),21,Northern America,2023,363.00,2023,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),24,Angola,2018,6.00,2018,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),24,Angola,2022,1.00,2022,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),29,Caribbean,2014,73.00,2014,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),29,Caribbean,2015,50.00,2015,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),29,Caribbean,2016,53.00,2016,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),29,Caribbean,2017,170.00,2017,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),29,Caribbean,2018,37.00,2018,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),29,Caribbean,2019,137.00,2019,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),29,Caribbean,2020,143.00,2020,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),29,Caribbean,2021,138.00,2021,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),29,Caribbean,2022,115.00,2022,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),29,Caribbean,2023,200.00,2023,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),30,Eastern Asia,2014,9.00,2014,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),30,Eastern Asia,2015,15.00,2015,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),30,Eastern Asia,2016,3.00,2016,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),30,Eastern Asia,2017,1.00,2017,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),30,Eastern Asia,2018,3.00,2018,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),30,Eastern Asia,2019,5.00,2019,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),30,Eastern Asia,2020,2.00,2020,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),30,Eastern Asia,2022,21.00,2022,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),30,Eastern Asia,2023,48.00,2023,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),32,Argentina,2021,4.00,2021,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),34,Southern Asia,2014,2.00,2014,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),34,Southern Asia,2015,22.00,2015,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),34,Southern Asia,2016,15.00,2016,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),34,Southern Asia,2017,217.00,2017,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),34,Southern Asia,2018,34.00,2018,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
